C033  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD
C035  8E 00 20  STX $2000                       A:00 X:00 Y:00 P:26 SP:FD
C038  78        SEI                             A:00 X:00 Y:00 P:26 SP:FD
C039  D8        CLD                             A:00 X:00 Y:00 P:26 SP:FD
C03A  CA        DEX                             A:00 X:00 Y:00 P:26 SP:FD
C03B  9A        TXS                             A:00 X:FF Y:00 P:A4 SP:FD
C03C  EA        NOP                             A:00 X:FF Y:00 P:A4 SP:FF
C03D  EA        NOP                             A:00 X:FF Y:00 P:A4 SP:FF
C03E  EA        NOP                             A:00 X:FF Y:00 P:A4 SP:FF
C03F  A2 02     LDX #$02                        A:00 X:FF Y:00 P:A4 SP:FF
C041  A9 06     LDA #$06                        A:00 X:02 Y:00 P:24 SP:FF
C043  8D 01 20  STA $2001                       A:06 X:02 Y:00 P:24 SP:FF
C046  AD 02 20  LDA $2002                       A:06 X:02 Y:00 P:24 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
C04C  10 FB     BPL $C049                       A:00 X:02 Y:00 P:26 SP:FF
C049  AD 02 20  LDA $2002                       A:00 X:02 Y:00 P:26 SP:FF
